price,size,lsize,age,bathp,month,poolag,poolig,firep,sager,dagar,car_p,busy_rd,ele
100000,1375,3105,80,7,56,0,0,0,0,0,0,1,0
95000,1100,6660,80,5,65,0,0,0,0,0,0,1,0
115900,1570,6669,65,10,57,0,0,0,0,0,0,1,1
117500,1363,6460,80,6,70,0,0,0,0,0,0,1,0
125000,1570,7263,65,10,63,0,0,0,0,0,0,1,1
103000,1100,2944,80,3,67,0,0,0,0,0,0,1,0
126900,1122,10818,24,4,64,0,0,0,0,0,0,0,0
298100,2900,11000,112,3,65,0,0,1,0,0,0,0,0
89000,1115,3445,80,4,57,0,0,1,0,0,0,0,0
212000,1300,15540,24,8,72,0,1,1,0,1,0,0,0
130000,1626,7260,70,5,65,0,0,1,0,0,0,0,0
80000,1000,5400,80,4,51,0,0,0,0,0,0,0,0
115000,1288,3532,80,4,61,0,0,1,0,0,0,0,0
122000,1500,8125,2,6,53,0,0,0,1,0,0,0,1
151500,1490,5390,10,6,60,0,0,1,1,0,0,0,1
147500,1450,5300,13,6,67,0,0,1,1,0,0,0,1
86000,900,2380,62,6,57,0,0,0,0,0,0,0,0
124900,1087,6720,4,9,51,0,0,1,1,0,0,0,0
125000,1615,6250,6,6,49,0,0,1,1,0,0,0,0
137200,1400,5830,9,6,58,0,0,1,1,0,0,0,0
130000,1475,5940,20,8,66,0,0,1,0,0,0,0,0
126900,1170,5100,19,4,62,0,0,1,0,0,0,0,0
106000,1050,4110,6,6,63,0,0,0,0,0,0,0,1
137000,1700,6050,18,6,51,0,0,1,1,0,0,0,0
125000,1100,7268,18,4,61,0,0,0,1,0,0,0,0
170000,2000,7604,18,10,69,0,0,1,1,0,0,0,1
180000,1714,6600,78,5,69,0,0,0,0,0,0,0,0
128500,1100,6000,34,5,49,0,1,1,0,0,0,0,0
178900,1100,5000,40,4,66,0,0,1,0,0,0,0,0
168000,1325,8910,32,10,53,0,0,1,1,0,0,0,0
180000,1600,6550,37,6,70,0,0,1,1,0,0,0,0
228000,2100,10136,3,14,68,0,0,1,0,1,0,0,0
95000,1300,4661,80,4,54,0,0,0,0,0,0,0,0
119900,1900,4882,35,8,50,0,0,1,0,0,0,0,0
67000,1304,3744,80,3,56,0,0,0,0,0,0,0,0
128000,1100,7530,28,4,66,0,0,0,0,0,0,0,0
158000,1896,3876,62,7,61,0,0,1,0,0,0,0,0
119900,920,4167,0,4,66,0,0,0,1,0,0,0,0
111000,1040,6250,28,5,50,0,0,0,1,0,0,0,0
92000,1850,3016,80,5,59,0,0,1,0,0,0,0,0
125000,1600,2916,87,6,51,0,0,0,0,0,0,0,0
192000,2136,5559,80,6,67,0,0,1,0,0,0,0,0
77500,1061,3675,80,4,55,0,0,0,0,0,0,0,0
137000,1850,6474,100,8,50,0,0,0,0,0,0,0,0
108500,1250,7700,28,4,49,0,0,1,1,0,0,0,0
153000,1240,3825,11,7,63,0,0,1,1,0,0,0,1
133000,1250,10742,28,6,62,0,0,1,0,1,0,0,0
150000,1510,6875,18,6,69,0,0,1,0,0,0,0,0
167000,1780,2860,10,10,53,0,0,1,1,0,0,0,1
200000,1813,18204,32,4,70,0,0,1,1,0,0,1,0
200000,2000,10800,94,6,70,0,0,1,0,0,0,1,0
115000,1250,4720,40,7,54,0,0,0,0,0,0,0,0
125500,777,5750,38,6,68,0,0,0,0,0,0,0,0
67000,820,4800,80,3,52,0,0,0,0,0,0,0,0
117000,800,5750,31,7,65,0,0,1,0,0,0,0,0
182000,2776,11962,80,12,51,0,0,1,0,0,0,0,0
107500,860,5706,27,4,53,0,0,0,0,0,0,0,0
58900,738,2006,80,5,51,0,0,1,0,0,0,0,1
229000,2555,11385,40,6,63,0,0,1,0,0,0,0,0
109000,1080,2038,90,3,68,0,0,0,0,0,0,0,0
125000,1700,6000,18,7,51,0,0,1,1,0,0,0,1
163060,1580,9394,1,10,52,0,0,1,0,1,0,1,0
104000,1130,2794,2,6,56,0,0,0,1,0,0,0,1
99900,750,18961,30,6,61,0,0,0,0,0,0,0,0
112000,1000,8250,32,4,63,0,0,0,0,0,0,0,0
107500,1300,9629,80,8,63,0,0,0,0,0,0,0,0
100000,800,6596,39,4,64,0,0,0,0,0,0,0,0
97500,1000,4200,4,4,51,0,0,1,0,0,0,0,0
121000,1080,4020,7,4,64,0,0,1,0,0,0,0,1
101000,1080,3600,6,4,54,0,0,0,0,0,0,0,1
127000,923,7225,8,6,66,0,0,0,0,0,0,0,0
125500,1020,3603,7,6,69,0,0,0,0,0,0,0,1
112000,950,3380,7,6,63,0,0,1,0,0,0,0,1
152000,1290,6528,28,6,62,0,0,0,1,0,0,0,0
196500,2300,7878,1,10,49,0,0,1,0,1,0,0,0
277000,2660,7563,1,13,71,0,0,1,0,1,0,0,0
125900,1050,8752,16,7,51,0,0,1,0,0,0,0,0
104900,1135,10896,80,6,58,0,0,0,0,0,0,0,0
71000,1150,2750,80,4,58,0,0,0,0,0,0,0,0
107500,1050,4300,80,4,68,0,0,0,0,0,0,0,0
210000,2521,6120,80,6,65,0,0,0,0,0,0,0,0
137500,1552,6420,7,9,50,0,0,1,1,0,0,0,0
150000,1258,5250,1,6,64,0,0,1,1,0,0,0,1
130000,1500,6771,1,9,50,0,0,1,0,0,0,0,1
192500,2047,6720,10,10,52,0,0,1,0,1,0,0,0
184000,1860,6960,11,10,57,0,0,1,1,0,0,0,0
127000,950,6441,17,7,57,0,0,1,0,0,0,0,0
98900,820,2450,45,4,66,0,0,0,0,0,0,0,0
125000,1400,5000,80,4,56,0,0,0,0,0,0,0,0
125100,1200,5600,35,4,64,0,0,0,0,0,0,0,0
86000,950,2516,80,5,66,0,0,1,0,0,0,0,0
255000,2346,5929,5,12,63,0,0,1,0,1,0,0,0
86000,980,4449,50,3,67,0,0,0,0,0,0,0,0
144000,2100,15764,80,9,71,0,0,1,0,0,0,0,0
151800,1550,6298,1,9,66,0,0,0,1,0,0,1,0
139000,1140,6955,2,6,62,0,0,1,1,0,0,1,0
130500,1150,4351,0,4,62,0,0,0,1,0,0,1,1
157000,1600,5954,0,10,61,0,0,0,1,0,0,1,0
146300,1710,5610,1,8,63,0,0,1,0,1,0,1,1
154000,1550,4800,0,9,62,0,0,1,1,0,0,1,0
136500,1100,5586,0,6,63,0,0,0,0,0,0,1,0
131000,1157,7440,1,5,61,0,0,1,1,0,0,1,0
177500,1600,5777,0,13,70,0,0,0,1,0,0,1,0
140000,1500,3262,80,6,71,0,0,0,0,0,0,0,0
154000,1750,6250,3,8,64,0,0,1,1,0,0,0,1
151000,1240,6250,2,7,58,0,0,0,1,0,0,0,0
158000,1962,6600,7,9,49,0,0,1,0,1,0,0,0
158000,1225,6630,7,6,66,0,0,1,0,1,0,0,0
119000,1250,3913,5,6,64,0,0,0,1,0,0,0,1
155000,1232,6781,2,6,72,0,0,1,1,0,0,0,1
136000,1396,6300,4,6,63,0,0,1,0,1,0,0,1
143000,1080,3249,5,7,72,0,0,0,1,0,0,0,0
128000,1137,3164,47,4,66,0,0,0,0,0,0,0,0
152000,1520,7327,5,6,63,0,0,1,1,0,0,0,0
87500,956,4841,45,3,56,0,0,0,0,0,0,0,0
155000,1252,5200,43,7,72,0,0,0,0,0,0,0,0
107500,917,3828,2,7,52,0,0,1,0,0,0,0,0
143500,1092,6643,24,7,67,0,0,1,1,0,0,0,0
136900,1160,6594,17,7,64,0,0,0,1,0,0,0,0
111000,800,5000,30,4,69,0,0,0,0,0,0,0,0
124000,1175,4800,5,7,55,0,0,1,1,0,0,0,0
150000,1190,4800,6,7,72,0,0,1,1,0,0,0,0
140000,1200,5500,7,8,61,0,0,1,0,0,0,0,0
183000,1300,5861,9,8,70,0,0,1,1,0,0,0,0
132000,1321,15000,25,6,59,0,0,1,1,0,0,0,0
138000,1340,16180,35,5,66,0,0,0,0,0,0,0,0
92000,800,5345,80,4,70,0,0,1,0,0,0,0,0
105000,1060,5300,20,5,51,0,0,0,0,0,0,0,1
95000,1550,9044,80,7,53,0,0,0,0,0,0,0,0
112000,1100,2800,80,4,64,0,0,0,0,0,0,0,0
112000,1100,2800,80,4,64,0,0,0,0,0,0,0,0
151000,1500,4128,80,5,52,0,0,0,0,0,0,0,0
165000,1170,6315,35,8,70,0,1,0,0,0,0,0,0
192000,1645,11915,35,8,68,0,0,1,0,0,0,0,0
148000,1645,11915,35,7,61,0,0,1,0,0,0,0,0
102000,1050,6325,28,7,49,0,0,1,0,0,0,0,0
110000,887,6480,30,4,59,0,0,0,0,0,0,0,0
111900,960,6710,6,6,49,0,0,1,1,0,0,1,0
122500,1370,5502,4,6,59,0,0,0,1,0,0,1,1
140000,1400,5500,2,6,66,0,0,1,1,0,0,1,1
126900,1400,5500,0,10,49,0,0,1,1,0,0,1,1
132000,1400,5000,8,8,58,0,0,1,1,0,0,1,1
132000,1622,5451,1,7,57,0,0,1,1,0,0,1,1
126900,1243,6000,4,7,58,0,0,1,1,0,0,1,1
175000,1425,6408,9,9,53,0,0,0,1,0,0,1,0
117000,1600,5106,4,4,51,0,0,1,1,0,0,1,1
230000,2430,7620,0,12,55,0,0,1,0,1,0,1,0
162000,1588,5227,3,7,71,0,0,1,1,0,0,1,1
215000,2630,7800,1,10,55,0,0,1,0,1,0,1,1
219000,2800,9328,1,10,59,0,0,1,0,1,0,1,0
240000,2567,7601,1,13,71,0,0,1,0,1,0,1,0
120000,1330,4632,13,4,49,0,0,1,1,0,0,0,0
128000,1104,5250,18,7,51,0,0,0,1,0,0,0,0
175000,1550,5692,15,6,69,0,0,1,1,0,0,0,0
79000,980,5000,80,5,50,0,0,0,0,0,0,0,0
87500,1050,6032,80,4,56,0,0,0,0,0,0,0,0
78000,1000,4160,45,4,51,0,0,0,0,0,0,0,0
117200,981,6129,32,7,56,0,0,1,0,0,0,0,0
89900,1200,5000,80,6,52,0,0,0,0,0,0,0,0
88000,800,5000,80,4,58,0,0,0,0,0,0,0,0
110000,1335,5359,80,4,62,0,0,1,1,0,0,0,0
115000,1100,3000,2,4,66,0,0,0,0,0,0,0,1
109500,979,3540,1,7,52,0,0,1,0,0,0,0,1
117000,1000,3240,2,6,66,0,0,1,0,0,0,0,1
95000,1100,3040,5,4,53,0,0,1,0,0,0,0,1
98000,1060,3000,5,6,57,0,0,0,0,0,0,0,1
121000,1280,3353,1,8,63,0,0,1,1,0,0,0,1
117500,1100,4950,2,6,67,0,0,1,0,0,0,0,1
120000,1075,3000,6,7,69,0,0,0,0,0,0,0,1
124000,1200,3000,2,8,62,0,0,1,1,0,0,0,1
142000,1330,5900,32,4,66,0,0,1,1,0,0,0,0
181000,1450,7500,28,7,67,0,0,1,0,0,1,0,0
99000,1040,3600,50,7,68,0,0,0,0,0,0,1,0
111500,1250,4529,33,4,58,0,0,1,0,0,0,1,0
123000,1075,5600,23,6,55,0,0,0,0,0,1,0,0
120000,955,7838,24,4,69,0,0,0,0,0,0,0,0
229900,2100,8148,1,10,57,0,0,1,0,1,0,0,0
163000,1600,5700,50,6,64,0,0,1,0,0,0,0,0
257500,2350,4725,70,6,69,0,0,1,0,0,0,0,0
217000,2250,5253,9,10,69,0,0,1,0,1,0,0,0
146000,1500,5858,42,9,70,0,0,1,0,0,0,0,0
125000,1072,2692,50,4,62,0,0,0,0,0,0,0,0
125000,1200,3618,14,7,70,0,0,0,0,0,0,0,0
126000,1180,15440,22,4,50,0,0,0,1,0,0,0,0
79000,975,11319,80,4,54,0,0,0,0,0,0,0,0
93000,1173,3262,80,5,67,0,0,0,0,0,0,0,0
153000,1522,7200,3,9,57,1,0,1,0,1,0,0,0
132500,1300,5356,13,7,55,0,0,1,1,0,0,0,0
129500,1290,10041,35,7,49,0,0,0,0,0,0,0,1
122000,1010,6864,29,8,56,0,0,1,1,0,0,0,0
125000,823,5824,78,7,65,0,0,1,0,0,0,0,0
150000,1245,7420,30,7,53,0,0,0,1,0,0,0,0
138000,1438,7920,60,7,59,0,0,1,0,0,0,0,0
97000,1100,2942,8,4,53,0,0,0,0,0,0,0,0
114000,1025,3068,8,6,66,0,0,0,0,0,0,0,0
123500,1188,6270,8,8,51,0,0,1,1,0,0,0,0
137000,1104,6600,31,7,66,0,0,1,1,0,0,0,1
180000,1350,6950,40,5,67,0,0,1,0,0,0,0,0
131000,1550,6798,1,6,50,0,0,1,1,0,0,0,1
145000,1030,4988,4,4,72,0,0,0,0,1,0,0,1
155000,1348,6881,2,7,68,0,0,1,1,0,0,0,1
105000,1150,3588,13,4,59,0,0,0,0,0,0,0,0
147700,1892,6765,0,7,61,0,0,0,0,0,0,0,0
125000,1175,4500,12,7,56,0,0,0,1,0,0,0,0
104000,1064,5713,50,4,58,0,0,0,0,0,0,0,0
105000,1080,2646,2,6,58,0,0,0,1,0,0,0,1
78500,1030,2724,80,4,50,0,0,0,0,0,0,0,0
133000,940,10560,33,6,62,0,0,0,0,0,0,0,0
105750,1037,5500,30,7,50,0,0,0,0,0,0,0,0
78500,1125,3547,80,3,67,0,0,0,0,0,0,0,0
117000,1427,6050,15,6,54,1,0,1,0,0,0,0,0
279000,2500,8700,1,11,63,0,0,1,0,1,0,0,0
95000,2265,7455,80,6,50,0,0,0,0,0,0,0,0
230000,2900,7976,80,6,71,0,0,1,0,0,0,0,0
265000,2300,13200,20,9,50,0,1,1,0,1,0,0,0
164900,1643,8190,80,10,57,0,0,1,0,0,0,0,0
84000,1050,2485,80,4,64,0,0,0,0,0,0,0,0
125000,1200,4979,80,3,72,0,0,1,0,0,0,0,0
112000,1134,6490,17,6,52,0,1,0,0,0,0,0,0
125000,980,6099,18,4,57,0,0,1,0,0,0,0,0
88000,1000,5300,14,6,49,0,0,0,0,0,0,0,0
108000,997,4000,14,4,55,0,0,1,0,0,1,0,0
116500,960,4500,13,7,58,0,0,0,0,0,0,0,0
104000,990,5400,11,7,50,0,0,1,0,0,1,0,0
127000,1450,6919,10,7,50,0,0,1,0,1,0,0,0
142800,1205,5400,24,7,67,0,0,1,0,0,0,0,0
117000,1450,1626,78,5,64,0,0,0,0,0,0,0,0
112000,1300,2782,80,3,62,0,0,1,0,0,0,0,0
113000,1075,2814,0,6,61,0,0,0,0,0,0,0,1
235500,2300,6780,2,11,68,0,0,1,0,1,0,0,0
81000,1350,2873,80,4,55,0,0,0,0,0,0,0,0
130000,925,8467,33,4,65,0,0,0,0,0,0,0,0
115000,904,1226,25,4,57,1,0,0,0,0,0,0,0
105000,1280,5350,38,7,58,0,0,0,1,0,0,1,0
87500,1400,5290,42,4,58,0,0,0,0,0,0,1,0
108000,1116,4290,80,4,57,0,0,0,0,0,0,1,0
72000,850,2289,80,4,67,0,0,0,0,0,0,1,0
142000,1600,9055,100,4,60,0,0,0,0,0,0,0,0
143900,1250,3500,1,6,70,0,0,0,1,0,0,0,1
160500,1700,4662,80,6,51,0,0,1,0,0,0,0,0
142000,1100,5300,4,7,58,0,0,1,1,0,0,0,1
100000,960,3641,1,4,56,0,0,0,0,0,0,0,1
109000,1050,4876,35,5,54,0,0,0,1,0,0,0,0
131750,950,4876,36,7,68,0,0,1,0,0,0,0,0
135500,1634,5022,30,8,52,0,0,1,0,0,0,0,0
130300,1056,4352,18,7,61,0,0,0,0,0,0,0,0
118500,1000,5600,28,4,57,0,0,1,0,0,0,0,0
132000,1185,5900,23,6,53,0,0,0,1,0,0,0,0
115100,1225,3789,20,6,66,0,0,1,0,0,0,0,0
104000,1160,3950,20,5,67,0,0,0,0,0,0,0,0
127500,1225,6804,12,6,52,0,0,1,1,0,0,0,0
132000,2000,6960,12,6,58,0,0,1,1,0,0,0,0
112000,1550,5830,12,7,50,1,0,0,0,1,0,0,0
152500,1395,4584,73,4,66,0,0,1,0,0,0,0,1
86000,1000,4842,80,4,51,0,0,0,0,0,0,0,0
160500,1640,7353,2,6,55,0,0,1,1,0,0,0,1
213000,1850,6000,3,8,68,0,0,1,1,0,0,0,1
205000,2310,7326,1,12,54,0,0,1,0,1,0,0,0
132000,1173,2607,70,3,64,0,0,1,0,0,0,0,0
243000,2400,1144,2,12,64,0,0,1,0,1,0,0,0
135000,1915,3420,80,4,54,0,0,1,0,0,0,0,0
150000,1620,6048,57,7,69,0,0,1,0,0,0,0,0
123500,1400,4350,14,6,65,0,0,1,1,0,0,0,1
115000,1000,4092,80,4,66,0,0,0,0,0,0,0,0
107900,1050,3000,4,6,58,0,0,0,0,0,0,0,1
132500,1300,3270,3,6,66,0,0,1,1,0,0,0,1
114900,1050,3240,3,6,53,0,0,0,0,0,0,0,1
142000,1320,3003,4,7,68,0,0,0,1,0,0,0,1
115500,1280,3200,2,9,51,0,0,1,1,0,0,0,1
240000,2200,7840,1,11,53,0,0,1,0,1,0,0,0
170000,2200,5250,5,11,50,0,0,1,0,1,0,0,0
180000,2186,10276,11,9,54,0,0,1,0,1,0,0,0
108500,1000,4705,36,4,64,0,0,0,0,0,0,0,0
208000,2076,5924,2,9,66,0,0,1,0,0,0,0,0
170000,1542,5924,2,7,68,0,0,1,1,0,0,0,1
111500,1344,6688,39,6,59,0,0,0,0,0,1,0,0
129000,1056,7410,28,7,62,0,0,0,0,0,0,0,0
135500,1550,6400,1,7,50,0,0,1,0,1,0,0,0
106000,1075,3900,7,6,61,0,0,0,0,0,0,0,1
199900,1850,7328,2,9,66,0,0,1,0,1,0,0,0
136000,1400,5250,4,9,65,0,0,1,1,0,0,0,1
118000,1200,3982,1,6,53,0,0,0,1,0,0,0,1
144000,1062,5366,7,7,71,0,0,1,1,0,0,0,1
163000,1370,6050,8,8,58,0,0,1,0,1,0,0,0
142000,1588,5880,5,9,50,0,0,1,0,1,0,0,0
140000,940,4515,8,6,65,0,0,1,1,0,0,0,0
208000,2400,6000,1,14,50,0,0,1,0,1,0,0,0
231000,2300,7015,14,9,72,0,1,1,0,1,0,0,0
110000,1741,3258,14,9,56,0,0,0,1,0,0,1,0
132000,1240,6138,15,9,53,0,0,1,1,0,0,0,0
108000,1050,5500,20,4,50,0,1,1,0,0,0,0,0
78500,780,5350,45,5,50,0,0,0,0,0,0,0,0
108000,1150,3780,10,8,52,0,0,1,0,0,0,0,0
95750,970,10921,28,4,51,0,0,1,0,0,0,1,0
114500,1050,16456,41,7,65,0,0,0,0,0,0,1,0
96500,1075,8379,39,4,53,0,0,1,0,0,0,1,0
103200,1035,5948,80,6,58,0,0,1,0,0,1,1,0
139900,1478,6000,21,6,67,0,0,1,1,0,0,1,0
139000,1100,4950,4,6,60,0,0,1,1,0,0,0,1
142000,1043,5151,6,6,63,0,0,1,1,0,0,0,1
128000,1400,5355,4,6,57,0,0,1,1,0,0,0,1
117500,1000,5250,7,4,55,0,0,1,1,0,0,0,1
131600,1150,5355,6,7,51,0,0,1,1,0,0,0,1
140000,1405,5355,6,6,63,0,0,0,1,0,0,0,1
140000,1450,1365,5,7,63,0,0,1,0,1,0,0,1
72000,741,19100,80,4,69,0,0,0,0,0,0,1,1
87000,800,1625,31,4,51,0,0,0,0,0,0,1,0
94000,800,2640,80,4,68,0,0,0,0,0,0,1,0
159900,1040,6216,30,7,69,0,0,0,0,0,0,1,0
112900,1033,5500,34,7,57,0,0,0,0,0,0,1,0
120000,1000,5910,30,4,61,0,0,1,0,0,0,0,0
126000,1050,10824,80,3,53,0,0,0,0,0,0,0,0
116000,1470,4356,80,4,52,0,0,1,0,0,0,0,0
83000,1080,3990,80,4,51,0,0,0,0,0,0,0,0
94000,930,4093,70,4,70,0,0,0,0,0,0,0,0
150000,1200,4589,80,7,68,0,0,0,0,0,1,0,0
94000,1450,4356,75,4,49,0,0,0,0,0,0,0,0
